id, x, y, freq, label
558, -2.335168, -33.740433, 92, license
559, 9.115500, -33.684849, 106, friend
560, 4.797047, -15.134507, 86, paul
561, 6.956179, -45.696968, 64, barwick
562, -47.135010, -28.725834, 26, basic
563, -22.408705, -58.910004, 40, message
564, 19.953897, -12.408877, 162, four
565, -45.671886, -35.307343, 32, subsequent
566, -1.707164, -10.218572, 866, men
567, 9.191727, -17.008604, 86, showed
568, -18.466345, 55.019989, 12, inevitable
569, 38.963993, 14.888458, 4, rejection
570, -42.098682, -27.726805, 28, clerk
571, 15.556380, -8.996217, 196, simply
572, -14.960876, -12.932028, 92, human
573, 50.191132, 31.104063, 6, beings
574, -54.558445, -41.604221, 34, happen
575, 17.433895, -11.042417, 274, get
576, -2.723088, -57.998016, 56, married
577, -21.317030, -59.296131, 42, denied
578, -56.867702, -28.615166, 18, sued
579, 47.155918, -51.046230, 6, wiggle
580, -13.924793, -24.732262, 432, court
581, -38.156830, -17.642820, 32, appeals
582, -53.446774, 36.772350, 14, construct
583, -48.821598, -48.273651, 30, defined
584, -66.483536, 3.028250, 22, procreation
585, 13.197701, -9.829991, 136, children
586, 8.442748, -8.333077, 148, added
587, -67.792984, -22.830790, 30, prohibition
588, -7.445350, -50.092991, 42, couples
589, -49.627331, -39.179932, 32, results
590, -22.901665, 60.460285, 12, logic
591, 13.359261, -11.016663, 126, perhaps
592, -48.464771, -40.550858, 22, eighteenth
593, -45.338924, -47.744713, 10, nineteenth
594, -62.396942, -27.871630, 26, forms
595, -27.306675, 49.483955, 8, arranged
596, -6.344328, -25.052982, 90, control
597, -33.983402, -56.500248, 32, property
598, -44.882271, -50.535290, 28, replaced
599, -67.799606, 20.737221, 14, twentieth
600, -57.073029, -28.822590, 14, ideal
601, -49.186699, -23.543316, 16, emphasized
602, -2.677603, -60.582375, 36, romantic
603, 19.256519, -9.239936, 612, people
604, 69.025513, -11.115267, 6, regard
605, 20.708939, 59.487671, 12, afterward
606, -24.179193, 40.200642, 20, journey
607, 4.815338, -20.650908, 84, toward
608, 47.731770, -14.245162, 10, accommodations
609, -12.082169, -14.390382, 88, openly
610, 19.647532, -9.095947, 530, like
611, 12.783856, -15.279427, 106, everyone
612, 6.976120, -51.376244, 54, else
613, 12.874085, -33.223953, 98, care
614, -48.948524, -52.319603, 44, build
615, -3.656706, -10.095862, 180, groups
616, -12.635630, 53.353138, 10, isolation
617, 2.793666, -40.326199, 82, create
618, -6.235835, -41.490162, 64, businesses
619, 14.731707, 58.581985, 10, cope
620, 10.618439, -9.190815, 210, change
621, 54.154575, -13.391633, 6, minds
622, 0.303432, -21.260109, 84, churches
623, -6.131677, -59.392838, 36, cast
624, -49.575333, 44.267014, 12, aside
625, -29.993633, -63.275723, 34, seek
626, -0.319639, -51.097961, 38, equality
627, -65.930862, -23.502031, 22, nation
628, 5.211169, -20.405069, 80, military
629, -0.892152, -12.203047, 314, many
630, 18.975264, -8.548801, 678, even
631, 11.934344, -34.441265, 86, quite
632, 46.472889, -12.845036, 4, individually
633, 3.885754, -23.330841, 70, individual
634, 3.404899, -9.937071, 144, job
635, 11.847875, -9.344410, 114, able
636, -42.622967, -29.915222, 32, rent
637, -52.657825, -40.842064, 32, apartment
638, -15.477301, 54.830547, 10, needing
639, -55.697227, 2.927335, 16, access
640, 26.512407, 23.541817, 12, recognition
641, 61.131111, -41.769936, 6, rela
642, 19.331207, -9.257683, 454, another
643, -0.210811, -51.694958, 60, matter
644, 14.075703, -12.927631, 142, something
645, -65.937820, -18.905115, 18, reminded
646, -6.580538, -25.514008, 138, passed
647, -13.117714, -58.911026, 44, defense
648, 8.302616, -23.320408, 138, put
649, 53.156136, 31.080587, 10, dictated
650, 8.303157, -14.237108, 106, turn
651, -12.649338, -5.471942, 122, progress
652, -2.967362, -12.982205, 164, begun
653, 12.754866, -16.529160, 94, feel
654, -1.664255, -46.411781, 50, supported
655, 14.310312, -8.930629, 182, heterosexual
656, 11.001685, -30.527998, 114, friends
657, -51.478436, -49.605663, 26, accepted
658, 12.229473, -9.832161, 144, within
659, 10.796840, -36.463081, 70, kept
660, 14.275854, -7.875171, 222, family
661, -37.896309, -43.274303, 36, acceptance
662, -3.878457, -49.908436, 54, significant
663, 13.843216, -6.813373, 304, seemed
664, -29.906458, -60.060909, 72, ones
665, 11.970502, -6.823273, 160, often
666, 4.938509, -23.183905, 72, fear
667, -30.368303, -63.102909, 42, partners
668, 17.505903, -8.471572, 334, wanted
669, 59.857758, 24.272648, 6, household
670, -20.353062, -48.514706, 36, organizers
671, 53.414890, -7.937999, 10, commented
672, 11.435990, -13.982144, 192, never
673, -5.644185, -55.825043, 60, heard
674, 10.559201, -18.523630, 92, mother
675, 59.902973, -0.367198, 10, grasp
676, 7.284335, 34.786030, 12, concept
677, 3.278317, -25.314869, 64, strong
678, -24.013536, -62.988457, 40, sat
679, -34.486519, 38.822166, 14, completely
680, -39.517773, 29.037733, 14, powerfully
681, 9.076691, -12.082187, 288, came
682, -51.187214, -37.353878, 24, sandra
683, 8.425898, -30.630022, 64, schuster
684, -44.300385, -34.904442, 30, madeleine
685, -48.469452, -35.988922, 26, quest
686, 14.198737, -13.141730, 108, person
687, -16.923988, -66.223869, 42, choice
688, 6.621718, -7.956454, 222, found
689, 7.747117, -28.262520, 78, run
690, -13.650216, -58.762547, 32, psychiatrist
691, -64.059731, -18.210533, 18, visits
692, 0.344505, -21.343998, 76, religious
